label,precision,recall,f1,support
An ninh mang,1.0,1.0,1.0,4
Bao chi,1.0,1.0,1.0,4
Cong nghe thong tin,1.0,1.0,1.0,4
Cong tac xa hoi,1.0,1.0,1.0,4
Dieu duong,1.0,1.0,1.0,4
Dinh duong,1.0,1.0,1.0,4
Du lich,1.0,1.0,1.0,4
Duoc hoc,1.0,1.0,1.0,4
He thong thong tin,1.0,1.0,1.0,4
Ho sinh,1.0,1.0,1.0,4
Huong dan du lich,1.0,1.0,1.0,4
Ke toan,1.0,1.0,1.0,4
Khoa hoc du lieu,1.0,1.0,1.0,4
Khoi nghiep va doi moi sang tao,1.0,1.0,1.0,4
Kiem toan,1.0,1.0,1.0,4
Kien truc,1.0,1.0,1.0,4
Kinh doanh quoc te,1.0,1.0,1.0,4
Ky thuat co khi,1.0,1.0,1.0,4
Ky thuat dien dien tu,1.0,1.0,1.0,4
Ky thuat hinh anh y hoc,1.0,1.0,1.0,4
Ky thuat may tinh,1.0,1.0,1.0,4
Ky thuat o to,1.0,1.0,1.0,4
Ky thuat phan mem,1.0,1.0,1.0,4
Ky thuat xay dung,1.0,1.0,1.0,4
Ky thuat xet nghiem y hoc,1.0,1.0,1.0,4
Logistics va quan ly chuoi cung ung,1.0,1.0,1.0,4
Luat,1.0,1.0,1.0,4
Luat kinh te,1.0,1.0,1.0,4
Marketing,1.0,1.0,1.0,4
My thuat,1.0,1.0,1.0,4
Nghe thuat so,1.0,1.0,1.0,4
Ngon ngu Anh,1.0,1.0,1.0,4
Ngon ngu Han,1.0,1.0,1.0,4
Ngon ngu Nhat,1.0,1.0,1.0,4
Ngon ngu Trung,1.0,1.0,1.0,4
Nhiếp anh,1.0,1.0,1.0,4
Quan he cong chung,1.0,1.0,1.0,4
Quan ly benh vien,1.0,1.0,1.0,4
Quan tri dich vu du lich va lu hanh,1.0,1.0,1.0,4
Quan tri khach san,1.0,1.0,1.0,4
Quan tri kinh doanh,1.0,1.0,1.0,4
Quan tri nha hang va dich vu an uong,1.0,1.0,1.0,4
Quan tri nhan luc,1.0,1.0,1.0,4
Quay phim - Dung phim,1.0,1.0,1.0,4
Rang ham mat,1.0,1.0,1.0,4
Su pham Toan hoc,1.0,1.0,1.0,4
Tai chinh ngan hang,1.0,1.0,1.0,4
Tam ly hoc,1.0,1.0,1.0,4
Thiet ke do hoa,1.0,1.0,1.0,4
Thiet ke game,1.0,1.0,1.0,4
Thiet ke noi that,1.0,1.0,1.0,4
Thiet ke thoi trang,1.0,1.0,1.0,4
Thuong mai dien tu,1.0,1.0,1.0,4
Tri tue nhan tao,1.0,1.0,1.0,4
Truyen thong da phuong tien,1.0,1.0,1.0,4
Tu dong hoa,1.0,1.0,1.0,4
Vat ly tri lieu va phuc hoi chuc nang,1.0,1.0,1.0,4
Y da khoa,1.0,1.0,1.0,4
Y hoc co truyen,1.0,1.0,1.0,4
Y te cong cong,1.0,1.0,1.0,4
